"STATION","Lat","Long","ZipCode","County","State","RadiusInMiles","BoundsWest","BoundsEast","BoundsNorth","BoundsSouth"
"USC00113413",40.4731,-88.3653,"60936","Ford County","IL",8,-88.497401,-88.23374,40.559105,40.384093
"USC00115712",40.9125,-89.0339,"61760","Woodford County","IL",9,-89.18628,-88.93071,40.9419,40.766079
"USC00115833",41.7944,-89.9681,"61270","Whiteside County","IL",11,-90.093214,-89.828612,41.931298,41.708287
"USC00236012",39.0172,-92.7558,"65274","Howard County","MO",9,-92.785007,-92.556346,39.075126,38.967537
"USC00131277",42.0633,-95.8364,"51010","Monona County","IA",9,-96.006285,-95.804464,42.187555,41.979138
"USC00471676",44.6228,-88.7483,"54929","Waupaca County","WI",12,-88.89537,-88.571112,44.744509,44.53186
"USC00132364",42.54,-90.6461,"52001","Dubuque County","IA",7,-90.760159,-90.636727,42.629675,42.489714
"USC00131394",41.0164,-93.2792,"50049","Lucas County","IA",13,-93.442358,-93.098703,41.161023,40.884031
"USC00216565",44.0139,-96.3258,"56164","Pipestone County","MN",16,-96.50639,-96.174431,44.255551,43.877739
"USC00231801",38.9425,-92.3206,"65201","Boone County","MO",7,-92.347715,-92.095297,38.96901,38.802419
"USC00250435",40.3706,-95.7469,"68321","Nemaha County","NE",10,-95.753271,-95.633632,40.455238,40.334456
"USC00116910",40.8778,-88.6364,"61764","Livingston County","IL",13,-88.81615,-88.43249,40.98515,40.77137
"USC00135992",41.7117,-93.0297,"50208","Jasper County","IA",12,-93.207972,-92.883534,41.862631,41.574637
"USC00144588",39.3256,-94.9189,"66048","Leavenworth County","KS",11,-95.133702,-94.83623,39.418899,39.172324
"USC00115943",38.3483,-88.8533,"62864","Jefferson County","IL",10,-89.034262,-88.764511,38.433093,38.21327
"USC00115825",41.3708,-88.4336,"60450","Grundy County","IL",12,-88.595378,-88.248463,41.480942,41.261836
"USC00238444",40.0825,-93.6086,"64683","Grundy County","MO",14,-93.764921,-93.437664,40.207255,39.896719
"USC00237475",38.7678,-90.5894,"63376","St. Charles County","MO",5,-90.7002,-90.549647,38.86253,38.73207
"USC00471667",42.5492,-88.8756,"53525","Rock County","WI",7,-88.979149,-88.776304,42.625257,42.492099
"USC00148946",38.9667,-98.4889,"67481","Lincoln County","KS",14,-98.504345,-98.279452,39.175773,38.870706
"USC00217405",44.3222,-93.9656,"56082","Nicollet County","MN",11,-94.185325,-93.874712,44.456666,44.233473
"USC00470696",42.5039,-89.0311,"53511","Rock County","WI",12,-89.27763,-88.894518,42.621043,42.494175
"USC00250445",40.8586,-97.9958,"68818","Hamilton County","NE",13,-98.188189,-97.825723,40.960025,40.655104
"USC00213290",43.7047,-92.5644,"55936","Mower County","MN",12,-92.677698,-92.484418,43.833922,43.586854
"USC00398472",42.9917,-97.8703,"57066","Bon Homme County","SD",11,-98.030318,-97.694718,43.097029,42.905786
"USC00395090",43.9906,-97.0922,"57042","Lake County","SD",14,-97.329295,-97.008855,44.123626,43.847973
"USC00474937",43.2117,-91.0986,"54626","Crawford County","WI",8,-91.155859,-90.952063,43.33103,43.125596
"USC00137700",43.0558,-96.1525,"51250","Sioux County","IA",10,-96.372942,-96.096252,43.142421,43.006475
"USC00230608",40.2575,-94.0269,"64424","Harrison County","MO",11,-94.193038,-93.854179,40.382891,40.133753
"USC00257070",40.0978,-98.5197,"68970","Webster County","NE",10,-98.651536,-98.381947,40.234202,40.00222
"USC00111577",41.7372,-87.7775,"60459","Cook County","IL",2,-87.799744,-87.740928,41.757303,41.733559
"USC00135769",40.7053,-94.2428,"50854","Ringgold County","IA",13,-94.343016,-94.118994,40.855152,40.571469
"USC00114603",41.135,-87.8856,"60901","Kankakee County","IL",11,-88.038341,-87.720381,41.20868,41.030157
"USC00133517",42.7858,-91.0958,"52052","Clayton County","IA",14,-91.272664,-91.014681,42.840139,42.602574
"USC00478723",42.6903,-88.0336,"53182","Racine County","WI",10,-88.135424,-87.952758,42.815166,42.604577
"USC00132789",41.0211,-91.9553,"52556","Jefferson County","IA",11,-92.114013,-91.747129,41.148829,40.901106
"USC00237720",39.6828,-92.0464,"63468","Shelby County","MO",9,-92.146889,-91.882406,39.775223,39.565091
"USC00475573",42.5992,-89.6669,"53566","Green County","WI",12,-89.818199,-89.485379,42.719063,42.501972
"USC00231189",38.6278,-92.5567,"65018","Moniteau County","MO",14,-92.672498,-92.433713,38.761872,38.456007
"USC00474482",43.0803,-88.8967,"53551","Jefferson County","WI",8,-88.991367,-88.84556,43.161364,43.007622
"USC00259513",40.9153,-97.5997,"68467","York County","NE",15,-97.750117,-97.444687,40.988433,40.756442
"USC00130364",41.4175,-95.0042,"50022","Cass County","IA",14,-95.155316,-94.853865,41.562872,41.258876
"USC00133632",41.6453,-95.3339,"51537","Shelby County","IA",11,-95.451002,-95.102648,41.76165,41.534657
"USC00234694",38.2042,-92.6233,"65049","Camden County","MO",6,-92.764539,-92.579891,38.232322,38.161149
"USC00130241",41.7322,-93.65,"50023","Polk County","IA",5,-93.681377,-93.597745,41.791339,41.680236
"USC00122620",38.87,-87.0917,"47529","Daviess County","IN",6,-87.147554,-87.017913,38.91775,38.800851
"USC00473038",43.5706,-91.2294,"54632","Vernon County","WI",7,-91.244093,-91.032792,43.629968,43.517641
"USC00139067",41.665,-91.9978,"52361","Iowa County","IA",12,-92.183115,-91.832934,41.731027,41.571216
"USC00121417",40.6653,-86.955,"47929","White County","IN",8,-87.04085,-86.81262,40.72134,40.63499
"USC00128290",39.2839,-86.7706,"47460","Owen County","IN",12,-86.95108,-86.658688,39.466589,39.14857
"USC00134963",41.8606,-90.9222,"52255","Cedar County","IA",6,-91.050067,-90.898201,41.920015,41.800893
"USC00145972",38.8875,-94.7603,"66062","Johnson County","KS",6,-94.871419,-94.686316,38.922368,38.781817
"USC00210355",43.6542,-92.9739,"55912","Mower County","MN",15,-93.169096,-92.768117,43.820976,43.526721
"USC00472055",44.3514,-87.812,"54208","Brown County","WI",11,-87.949834,-87.603523,44.458371,44.284007
"USC00258410",40.2381,-96.0847,"68447","Pawnee County","NE",5,-96.151984,-96.010176,40.312908,40.116
"USC00475563",44.5647,-91.6719,"54755","Buffalo County","WI",19,-91.869213,-91.528819,44.771857,44.375926
"USC00473022",43.3144,-90.8486,"54631","Crawford County","WI",11,-90.97401,-90.666069,43.36946,43.205309
"USC00236402",38.0492,-93.7039,"64776","St. Clair County","MO",21,-93.902982,-93.418501,38.220825,37.879707
"USC00235671",39.4194,-92.4369,"65270","Randolph County","MO",8,-92.538388,-92.2804,39.509027,39.301945
"USC00472173",42.9608,-90.1161,"53533","Iowa County","WI",13,-90.317421,-89.956065,43.10159,42.903192
"USC00120331",40.2839,-87.1964,"47918","Fountain County","IN",10,-87.335609,-87.072504,40.427646,40.185994
"USC00478951",44.3547,-89.0594,"54981","Waupaca County","WI",11,-89.259853,-88.981443,44.424308,44.21002
"USC00473268",44.4983,-88.1119,"54313","Brown County","WI",10,-88.219738,-87.978512,44.677388,44.452826
"USC00145744",38.0231,-97.3553,"67114","Harvey County","KS",16,-97.471895,-97.013756,38.275345,37.926858
"USW00013802",38.52,-89.8467,NA,NA,NA,NA,NA,NA,NA,NA
"USC00115079",40.1519,-89.3386,"62656","Logan County","IL",11,-89.550985,-89.214885,40.243879,40.01919
"USC00134735",42.7817,-96.1458,"51031","Plymouth County","IA",14,-96.409914,-96.016268,42.910023,42.648988
"USC00111836",40.6211,-89.2414,"61729","Woodford County","IL",4,-89.274913,-89.184134,40.676194,40.585153
"USC00219170",43.645,-95.5803,"56187","Nobles County","MN",14,-95.753641,-95.335275,43.790688,43.499856
"USC00472165",44.1331,-91.5511,"54625","Trempealeau County","WI",5,-91.558968,-91.485562,44.157908,44.088211
"USC00233102",39.9081,-93.9697,"64640","Daviess County","MO",11,-94.103636,-93.80167,40.012121,39.786297
"USC00476646",42.7489,-90.4656,"53818","Grant County","WI",11,-90.635867,-90.340507,42.871255,42.634278
"USC00132689",43.1025,-94.6833,"50536","Palo Alto County","IA",11,-94.837519,-94.575274,43.241536,42.99519
"USC00391076",44.325,-96.7686,"57006","Brookings County","SD",17,-96.911401,-96.706461,44.514509,44.152424
"USC00478827",43.5594,-90.8761,"54665","Vernon County","WI",14,-91.109668,-90.730214,43.637312,43.423487
"USC00131354",40.7325,-92.89,"52544","Appanoose County","IA",12,-93.097394,-92.753386,40.830701,40.584014
"USC00471078",42.6181,-89.3867,"53566","Green County","WI",12,-89.818199,-89.485379,42.719063,42.501972
"USW00094822",42.1928,-89.0931,NA,NA,NA,NA,NA,NA,NA,NA
"USC00476764",43.3944,-87.8636,NA,NA,NA,NA,NA,NA,NA,NA
"USC00116157",38.9917,-88.1828,"62448","Jasper County","IL",13,-88.352384,-88.037154,39.112739,38.817918
"USC00117126",39.1481,-89.1022,"62080","Fayette County","IL",12,-89.241903,-88.940874,39.247011,39.027072
"USC00117004",40.9275,-89.7564,"61559","Peoria County","IL",8,-89.902258,-89.657789,41.026416,40.813183
"USC00135952",43.0453,-92.3122,"50659","Chickasaw County","IA",14,-92.455997,-92.199205,43.213707,42.936208
"USC00136800",43.0864,-95.6292,"51245","O'Brien County","IA",10,-95.703659,-95.50514,43.158073,42.968131
"USC00135837",41.4075,-91.0728,"52761","Muscatine County","IA",16,-91.291653,-90.802915,41.537394,41.237054
"USC00132209",41.7367,-93.7236,"50131","Polk County","IA",5,-93.765551,-93.664068,41.754934,41.650839
"USC00471064",44.1614,-88.0803,"54110","Calumet County","WI",8,-88.183823,-87.99825,44.270257,44.080919
"USC00393029",44.0683,-98.0833,"57314","Sanborn County","SD",18,-98.171858,-97.849492,44.195956,43.849857
"USC00253185",41.4514,-97.7644,"68640","Nance County","NE",14,-97.926456,-97.676012,41.598366,41.351016
"USC00255362",41.1431,-96.4808,"68033","Saunders County","NE",6,-96.582503,-96.46368,41.191758,41.074243
"USC00253065",40.6558,-97.2208,"68359","Saline County","NE",11,-97.368603,-97.178822,40.742139,40.509706
"USC00258875",40.2444,-96.4983,"68458","Gage County","NE",4,-96.558355,-96.46346,40.276792,40.189611
"USC00478937",43.0064,-88.2492,"53188","Waukesha County","WI",6,-88.384303,-88.200759,43.075282,42.987971
"USC00254035",41.7175,-97.0031,"68641","Colfax County","NE",13,-97.087524,-96.944532,41.873522,41.582958
"USC00132573",42.3653,-93.0972,"50627","Hardin County","IA",13,-93.280616,-92.924374,42.415551,42.259713
