"STATION","Lat","Long","ZipCode","County","State","RadiusInMiles","BoundsWest","BoundsEast","BoundsNorth","BoundsSouth"
"USW00013996",39.0725,-95.6261,NA,NA,NA,NA,NA,NA,NA,NA
"USW00003947",39.2972,-94.7306,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014842",40.6675,-89.6839,"61607","Peoria County","IL",6,-89.756507,-89.610339,40.691778,40.552486
"USC00119221",41.8128,-88.0728,"60532","DuPage County","IL",3,-88.119082,-88.051606,41.818493,41.755519
"USW00013994",38.7525,-90.3736,NA,NA,NA,NA,NA,NA,NA,NA
"USC00395481",43.2358,-97.5714,"57045","Hutchinson County","SD",11,-97.677118,-97.357849,43.333005,43.095665
"USC00214534",43.9983,-95.9494,"56151","Murray County","MN",9,-96.04441,-95.80357,44.13123,43.94203
"USW00094910",42.5544,-92.4011,NA,NA,NA,NA,NA,NA,NA,NA
"USW00013991",39.1342,-93.2225,"65340","Saline County","MO",18,-93.359583,-92.957573,39.278067,38.897769
"USW00093822",39.8447,-89.6839,"62707","Sangamon County","IL",10,-89.782283,-89.521012,39.928309,39.801586
"USW00094911",42.8783,-97.3633,"57078","Yankton County","SD",12,-97.595621,-97.275576,43.024872,42.84457
"USC00142459",38.7297,-98.225,"67439","Ellsworth County","KS",14,-98.370706,-98.039553,38.882928,38.580209
"USW00014839",42.955,-87.9044,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014837",43.1406,-89.3453,NA,NA,NA,NA,NA,NA,NA,NA
"USW00013988",39.1208,-94.5969,NA,NA,NA,NA,NA,NA,NA,NA
"USC00149080",37.8833,-95.7278,"66783","Woodson County","KS",14,-95.922282,-95.524982,38.040048,37.732727
"USC00476718",43.5306,-89.4369,"53901","Columbia County","WI",12,-89.659545,-89.305634,43.655139,43.399336
"USC00129253",38.6489,-87.1989,"47501","Daviess County","IN",13,-87.279415,-87.07267,38.803546,38.515615
"USC00231580",39.775,-93.5358,"64601","Livingston County","MO",18,-93.761625,-93.402612,39.96116,39.614135
"USC00475178",43.79,-90.0597,"53948","Juneau County","WI",12,-90.249926,-89.849755,43.905935,43.643145
"USC00131731",41.2764,-91.3581,"52738","Louisa County","IA",11,-91.486004,-91.192165,41.424217,41.161618
"USC00231340",39.3594,-93.4886,"64633","Carroll County","MO",16,-93.701811,-93.252726,39.539355,39.214892
"USC00115372",41.3286,-88.7533,"61341","LaSalle County","IL",11,-88.803144,-88.607315,41.458319,41.223362
"USC00115493",42.3092,-88.2533,"60050","McHenry County","IL",6,-88.355246,-88.187902,42.410937,42.277918
"USC00137161",42.3969,-94.6292,"50579","Calhoun County","IA",12,-94.814298,-94.475238,42.499978,42.30313
"USC00116579",39.3686,-89.0867,"62557","Christian County","IL",9,-89.278665,-88.991001,39.509234,39.283418
"USC00140682",39.8186,-97.6378,"66935","Republic County","KS",16,-97.744659,-97.500094,40.002133,39.653516
"USC00148061",38.4331,-96.5578,"66869","Chase County","KS",10,-96.684618,-96.361265,38.521974,38.374493
"USC00126151",37.9325,-87.3744,"47630","Warrick County","IN",7,-87.451199,-87.257465,38.017656,37.878026
"USC00127125",38.3567,-87.5906,"47670","Gibson County","IN",9,-87.72443,-87.464018,38.40427,38.273844
"USC00478316",42.9675,-88.5497,"53118","Waukesha County","WI",6,-88.584253,-88.389157,43.033039,42.926326
"USC00130536",40.8069,-94.0475,"50074","Ringgold County","IA",7,-94.142621,-94.014759,40.919304,40.796538
"USC00230143",39.8914,-94.36,"64469","DeKalb County","MO",10,-94.529032,-94.242914,40.0393,39.819448
"USC00475164",44.1747,-90.3483,"54666","Monroe County","WI",18,-90.629035,-90.232111,44.335944,44.015464
"USC00390296",43.3131,-98.3486,"57313","Douglas County","SD",12,-98.576148,-98.18948,43.442105,43.183411
"USC00474195",44.4628,-87.505,"54216","Kewaunee County","WI",11,-87.704771,-87.439562,44.588469,44.327449
"USC00258935",42.1506,-96.4756,"68067","Thurston County","NE",6,-96.589965,-96.384209,42.227644,42.089848
"USC00478672",44.1431,-87.5678,"54241","Manitowoc County","WI",10,-87.72162,-87.500766,44.327563,44.122451
"USC00252037",42.7364,-97.4969,"68730","Knox County","NE",11,-97.720683,-97.400549,42.858477,42.627072
"USC00120852",38.0303,-87.2736,"47601","Warrick County","IN",9,-87.367786,-87.132017,38.15866,37.925332
"USC00232568",38.8681,-94.0353,"64040","Johnson County","MO",15,-94.128304,-93.863781,38.915144,38.56501
"USC00120858",40.535,-87.453,"47944","Benton County","IN",15,-87.526225,-87.096413,40.736572,40.476712
"USC00116446",38.7003,-88.0817,"62450","Richland County","IL",12,-88.224876,-87.946985,38.845785,38.568912
"USC00136199",42.68,-91.875,"50662","Fayette County","IA",8,-92.044844,-91.824558,42.744878,42.631384
"USC00140693",39.4575,-98.1125,"67420","Mitchell County","KS",18,-98.302794,-97.853851,39.567403,39.218757
"USC00118740",40.0839,-88.2403,"61820","Champaign County","IL",3,-88.258189,-88.225627,40.149189,40.068933
"USC00116200",40.5492,-88.9497,"61761","McLean County","IL",10,-89.069086,-88.797384,40.576633,40.487114
"USC00129670",41.0267,-86.5867,"46996","Pulaski County","IN",12,-86.807075,-86.467345,41.179317,40.89817
"USC00129430",40.475,-86.9919,NA,NA,NA,NA,NA,NA,NA,NA
"USC00131635",41.7947,-90.2639,"52730","Clinton County","IA",8,-90.446583,-90.230216,41.815281,41.727691
"USC00132603",42.7753,-91.4536,"52076","Clayton County","IA",10,-91.625903,-91.368865,42.796933,42.596465
"USC00252020",40.6092,-96.8719,"68333","Saline County","NE",11,-97.084262,-96.787972,40.698205,40.538079
"USC00118860",39.5061,-89.7689,"62690","Macoupin County","IL",11,-89.907519,-89.589065,39.558851,39.464493
"USC00141559",39.3739,-97.1275,"67432","Clay County","KS",18,-97.445789,-96.941959,39.539212,39.131961
"USC00257715",40.8997,-97.0908,"68434","Seward County","NE",12,-97.292152,-96.964055,41.046505,40.792598
"USC00212721",44.3092,-93.2661,"55021","Rice County","MN",13,-93.465599,-93.101227,44.459053,44.196203
"USC00141435",38.9644,-97.0119,"67431","Dickinson County","KS",14,-97.093602,-96.919569,39.118187,38.812358
"USC00138026",43.4542,-94.3069,"50590","Kossuth County","IA",9,-94.40377,-94.167847,43.500279,43.312643
"USC00116558",39.0064,-87.6236,"62451","Crawford County","IL",9,-87.678203,-87.51213,39.110541,38.911436
"USC00250070",41.6853,-98.0083,"68620","Boone County","NE",16,-98.296006,-97.849813,41.914957,41.575041
"USC00131402",43.0603,-92.6717,"50616","Floyd County","IA",13,-92.83798,-92.49536,43.212813,42.936232
"USC00477209",43.8864,-88.7444,"54971","Fond du Lac County","WI",11,-88.976205,-88.660784,43.982822,43.75705
"USC00474174",42.5608,-87.8156,"53143","Kenosha County","WI",2,-87.847048,-87.806902,42.582146,42.536814
"USC00253467",41.1586,-96.1922,"68136","Sarpy County","NE",2,-96.215771,-96.154826,41.190762,41.146935
"USC00139132",41.315,-94.0183,"50273","Madison County","IA",13,-94.241705,-93.847086,41.493043,41.207201
"USC00112193",39.8289,-88.9506,"62521","Macon County","IL",10,-89.105073,-88.801679,39.912003,39.747393
"USC00258915",42.2619,-96.8636,"68784","Dixon County","NE",12,-96.998558,-96.794262,42.373053,42.119429
"USC00144712",39.0294,-98.13,"67455","Lincoln County","KS",15,-98.318215,-97.984054,39.219491,38.870407
"USC00117636",38.6403,-88.9458,"62881","Marion County","IL",9,-89.031139,-88.80858,38.735437,38.538216
"USC00116661",41.6653,-88.9781,"61353","Lee County","IL",6,-89.053111,-88.939672,41.760875,41.641253
"USC00114489",39.1025,-90.3431,"62052","Jersey County","IL",11,-90.483967,-90.146093,39.203832,38.999447
"USC00116663",40.455,-88.1417,"60957","Ford County","IL",11,-88.290963,-87.971727,40.531017,40.355214
"USC00143984",37.9233,-95.4242,"66749","Allen County","KS",8,-95.519429,-95.299053,38.038594,37.820195
"USC00130600",41.8814,-92.2764,"52208","Benton County","IA",6,-92.327547,-92.185868,41.978716,41.790105
"USC00231145",38.2611,-94.405,"64730","Bates County","MO",17,-94.543791,-94.084053,38.39082,38.121647
"USC00253175",40.5314,-97.5964,"68361","Fillmore County","NE",13,-97.733046,-97.463253,40.600074,40.415347
"USC00232591",39.1558,-90.7831,"63343","Lincoln County","MO",10,-90.974145,-90.68523,39.260602,39.069839
"USC00123078",40.9842,-86.8872,"47946","Pulaski County","IN",8,-87.026851,-86.756149,41.05634,40.91239
"USC00118684",39.7947,-88.2911,"61953","Douglas County","IL",11,-88.434357,-88.12031,39.879518,39.709831
"USC00235987",37.8394,-94.3739,"64772","Vernon County","MO",12,-94.511881,-94.143266,37.973018,37.700033
"USC00140405",39.5756,-95.1108,"66002","Atchison County","KS",16,-95.265045,-94.968973,39.725459,39.375669
"USC00141858",38.3703,-96.5483,"66845","Chase County","KS",12,-96.658411,-96.355291,38.405682,38.172381
"USC00233568",39.7425,-94.0347,"64644","Caldwell County","MO",9,-94.109103,-93.852442,39.82994,39.642569
"USC00475017",44.0869,-87.6522,"54220","Manitowoc County","WI",10,-87.856955,-87.610843,44.218485,43.999961
"USC00136151",41.3044,-95.3844,"51560","Pottawattamie County","IA",11,-95.555918,-95.23206,41.385531,41.259724
"USC00137594",43.1803,-95.8533,"51201","O'Brien County","IA",10,-96.018917,-95.742621,43.272444,43.098287
"USC00114198",40.4664,-87.685,"60942","Vermilion County","IL",10,-87.819892,-87.526168,40.549476,40.386535
"USC00138568",42.1703,-92.0078,"52349","Benton County","IA",12,-92.14298,-91.833285,42.297647,42.05062
"USC00138688",41.2825,-91.7078,"52353","Washington County","IA",12,-91.868721,-91.583847,41.441076,41.182588
"USC00130608",42.2611,-90.423,"52031","Jackson County","IA",13,-90.645914,-90.306647,42.41829,42.116831
"USC00123082",40.2986,-86.5067,"46041","Clinton County","IN",16,-86.695544,-86.247224,40.448871,40.176942
"USC00395669",43.7644,-98.0714,"57301","Davison County","SD",13,-98.205837,-97.846691,43.851087,43.585672
"USC00234544",40.2058,-92.5747,"63501","Adair County","MO",14,-92.778581,-92.429843,40.324935,40.037806
"USC00475120",44.6411,-90.1333,"54449","Wood County","WI",14,-90.336003,-90.055969,44.771854,44.495098
"USC00476330",44.0206,-88.5578,"54902","Winnebago County","WI",7,-88.584554,-88.449414,44.045713,43.893415
"USC00143929",38.09,-97.9125,"67502","Reno County","KS",8,-98.052844,-97.79377,38.202782,38.071444
"USC00219249",44.2992,-92.6661,"55992","Goodhue County","MN",10,-92.850892,-92.565632,44.370108,44.238469
"USC00231037",39.4247,-93.1331,"65236","Chariton County","MO",6,-93.204897,-92.996662,39.525647,39.312875
"USC00212737",44.6697,-93.17,"55024","Dakota County","MN",8,-93.248179,-93.014186,44.717898,44.536748
"USC00116011",38.3419,-89.3592,"62263","Washington County","IL",11,-89.551262,-89.2578,38.459934,38.200442
"USC00141867",38.6758,-96.5097,"66846","Morris County","KS",16,-96.664853,-96.260853,38.812341,38.515799
"USC00117457",41.6042,-88.085,"60446","Will County","IL",4,-88.163636,-88.052838,41.680834,41.594069
"USC00148250",39.8283,-95.0881,"66087","Doniphan County","KS",11,-95.30927,-94.993445,39.906841,39.679417
"USC00146076",38.6361,-95.8031,"66523","Osage County","KS",10,-95.987057,-95.682832,38.712776,38.470854
"USC00131833",40.9883,-94.7589,"50841","Adams County","IA",15,-94.927684,-94.58557,41.158467,40.825259
"USC00131954",43.3894,-92.0939,"52136","Howard County","IA",14,-92.298883,-91.929378,43.500821,43.212785
"USC00131710",42.0169,-93.3189,"50056","Story County","IA",8,-93.367351,-93.231645,42.093357,41.935336
"USC00475474",43.0722,-88.0294,"53222","Milwaukee County","WI",2,-88.066822,-88.005786,43.104225,43.067016
"USC00126001",37.9286,-87.8956,"47620","Posey County","IN",14,-88.097892,-87.70027,38.06522,37.771728
"USC00476200",43.1003,-88.5036,"53066","Waukesha County","WI",13,-88.624877,-88.39133,43.261139,42.976007
"USC00257515",41.2078,-98.4608,"68873","Howard County","NE",13,-98.612246,-98.296697,41.394204,41.105139
"USC00391392",43.3111,-96.5878,"57013","Lincoln County","SD",12,-96.757156,-96.476697,43.432202,43.170539
"USC00473058",43.2389,-88.1222,"53022","Washington County","WI",4,-88.191237,-88.063292,43.279428,43.191751
"USC00143810",39.6678,-95.52,"66439","Atchison County","KS",9,-95.695588,-95.405288,39.739875,39.577368
"USC00135198",42.0647,-92.9244,"50158","Marshall County","IA",13,-93.117171,-92.743862,42.18845,41.919988
"USC00142602",38.8592,-96.1058,"66423","Wabaunsee County","KS",13,-96.316969,-95.965344,38.98665,38.738773
"USC00143930",37.9311,-98.0297,"67501","Reno County","KS",12,-98.08751,-97.720341,38.092884,37.831725
"USC00219046",43.7639,-94.1661,"56098","Faribault County","MN",9,-94.327582,-94.057402,43.848111,43.666199
"USC00476678",43.73,-87.9714,"53073","Sheboygan County","WI",10,-88.160834,-87.87538,43.862897,43.674057
"USC00130753",40.7392,-92.4142,"52537","Davis County","IA",16,-92.638891,-92.17836,40.945352,40.590853
"USC00474373",43.8225,-91.1914,"54601","La Crosse County","WI",9,-91.274391,-91.030848,43.870909,43.738739
"USC00475581",43.7806,-89.3169,"53949","Marquette County","WI",14,-89.48416,-89.10598,43.93762,43.642627
"USC00236826",37.8956,-90.8414,"63664","Washington County","MO",16,-91.09936,-90.698474,38.102357,37.737812
"USC00141408",39.7242,-96.1258,"66415","Nemaha County","KS",10,-96.239707,-96.033055,39.783902,39.595115
"USC00135086",42.4733,-91.4517,"52057","Delaware County","IA",12,-91.579097,-91.31491,42.616883,42.361754
"USC00137386",43.1792,-95.6603,"51248","O'Brien County","IA",8,-95.76243,-95.54516,43.287556,43.12797
"USC00219033",43.8769,-95.1158,"56101","Cottonwood County","MN",13,-95.290894,-94.954489,44.021585,43.746526
"USC00141761",39.5592,-97.6697,"66901","Cloud County","KS",15,-97.816497,-97.402461,39.711216,39.379337
"USC00137147",43.43,-96.1686,"51246","Lyon County","IA",12,-96.332701,-95.960464,43.500365,43.315443
"USC00133909",42.4897,-95.5489,"51025","Ida County","IA",10,-95.662826,-95.438709,42.605463,42.39352
"USC00125174",41.2647,-87.4178,"46356","Lake County","IN",9,-87.526757,-87.290734,41.348241,41.162186
