STATION,COUNTY,STATE_CODE,Lat,Long
USC00040343,Tulare,06,36.4914,-118.8253
USC00046685,Butte,06,39.7539,-121.6242
USC00265371,White Pine,32,39.3583,-115.3297
USC00045233,Madera,06,36.9539,-120.0378
USW00023271,Sacramento,06,38.5556,-121.4169
USW00024121,Elko,32,40.8289,-115.7886
USC00268761,Storey,32,39.3128,-119.6483
USC00049043,Nevada,06,39.3331,-120.173
USC00045915,Contra Costa,06,37.8792,-121.9303
USW00024128,Humboldt,32,40.9017,-117.8081
USW00023155,Kern,06,35.4344,-119.0542
USW00023154,White Pine,32,39.2953,-114.8467
USC00047404,Humboldt,06,40.0261,-123.7931
USC00047767,San Francisco,06,37.7281,-122.5053
USC00047888,Orange,06,33.7442,-117.8667
USC00044259,Riverside,06,33.7086,-116.2153
USC00049822,San Bernardino,06,34.3617,-117.6386
USC00041424,San Diego,06,32.6264,-116.47
USC00264950,White Pine,32,39.4136,-114.7733
USC00047880,Marin,06,37.9983,-122.5372
USC00043161,Mendocino,06,39.5092,-123.7567
USC00044374,Modoc,06,41.2683,-120.2947
USC00047643,Napa,06,38.5067,-122.4714
USC00040693,Alameda,06,37.8744,-122.2606
USC00264391,Elko,32,40.7442,-115.4855
USC00049026,Trinity,06,40.7264,-122.7947
USC00266691,Clark,32,36.0686,-115.4603
USC00269168,Humboldt,32,40.9386,-117.7514
USC00049152,Los Angeles,06,34.0697,-118.4428
USC00041428,Calaveras,06,38.2486,-120.8433
